,Article,Wort,Word
245,der,"Ast, -¨e",branch of a tree
246,der,"Asylant, -en",asylum seeker
247,der,"Ausflug, -¨e","outing, field trip"
248,der,"Auswander er, -",emigrant
249,der,"Ausweis, -e",ID
250,der,"Badeanzug, -e, die Badehose, -n",bathing suit
251,der,"Bahnhof, -¨e",train station
252,der,"Balkon, -e",balcony
253,der,"Ball, -¨e",ball
254,der,"Barren, -",the parallel bars
255,der,"Bart, -¨e",beard
256,der,"Bastler, -, die Bastlerin, -nen","craftsman, do it yourselfer"
257,der,"Bauch, -¨e",stomach
258,der,"Baum, -¨e",tree
259,der,"Becher, -","beaker, plastic cup"
260,der,"Beginn, -","beginning, start"
261,der,"Beruf, -e","occupation, career"
262,der,"Besitz, x","resources, assets"
263,der,"Beweis, -e",proof
264,der,"Bezwinger, -",conqueror
265,der,"Blitz, -e","lightning, flash"
266,der,"Blumenkohl, -",cauliflower
267,der,"Blumenladen, -¨",flower shop
268,der,"Blumenstrauß, -¨e",bunch of flowers
269,der,"Boden, -¨","ground, dirt"
270,der,"Brei, -e","mash, puree"
271,der,"Briefkasten, -¨",mailbox
272,der,"Bruder , -n",brother
273,der,"Buckel, -",hunchback
274,der,"Buddhismus, x",buddhism
275,der,"Bush, -¨e",bush (strauch)
276,der,"Chef, -s",boss
277,der,"Chinese, -n",chinese (people)
278,der,"Chirurg, -en",surgeon
279,der,"Christ, -en",Christian
280,der,"Computer, -",computer
281,der,"Dachboden, -",attic
282,der,"Dampf, -¨e","steam, vapor"
283,der,"Detektiv, -e, die Detektei",detective
284,der,"Dieb, -e",thief
285,der,"Dirigent, -en, die Dirigentin, -nen",conductor
286,der,"Dirigentenstab, -",conductors baton
287,der,"Dom, -e",cathedral
288,der,"Dorn, -en",thorn
289,der,"Drache, -n",dragon
290,der,"Drachen, -","a kite, a glider"
291,der,"Dualismus, -",dualism
292,der,"Dung, -x","dung, manure"
293,der,"Dünger, -",fertilizer
294,der,"Düsenantrieb, -X",jet propulsion
295,der,"Düsenjäger, -",fighter jet
296,der,"Edelstein, -e",precious stone
297,der,"Einkaufszettel, -",shopping list
298,der,"Einwander er, -",immigrant
299,der,"Eiskunstlauf, -x",figure skating
300,der,"Ellbogen, -",elbow
301,der,Eltern (pl),parents
302,der,"Esel, -",donkey
303,der,"Faden, -¨",thread
304,der,"Fahrradabstellplatz, -¨e",bicycle parking place
305,der,"Fallschirm, -e",parachute
306,der,"Familienstand, x",family status
307,der,"Fehler, -",mistake
308,der,"Feind, -e",enemy
309,der,"Feldrand, -¨er",edge of a field
310,der,"Finger, -",finger
311,der,"Fingerabdruck, -¨n",fingerprint
312,der,"Fingerhut, -¨e",thimble
313,der,"Fingernagel, -¨",fingernail
314,der,"Fisch, -",fish
315,der,"Flaschenöffner, -",bottle opener
316,der,"Fleck, -en",spot
317,der,"Flug, -¨e",flight
318,der,"Flugbegleiter, -,die Flugbegleiterin",airline stewardess
319,der,"Flughafen, -¨",airport
320,der,"Flur, -e",hallway in a house
321,der,"Fluss, -¨e",river
322,der,"Freimut, x",frankness
323,der,"Frevel, -","iniquity, outrage"
324,der,"Frühaufsteher, -in","early riser, hard working person"
325,der,"Fuchs, -¨e",fox
326,der,"Fuß, -¨e",foot
327,der,"Fußgänger, -",pedestrian
328,der,"Fön, -e",hairdryer
329,der,"Führerschein, -e",driverÂ´s license
330,der,"Fürst, -, die Fürstin, -nen","prince, princess"
331,der,"Gammel, -X",rubbish
332,der,"Gang, -¨e","walkway, corridor"
333,der,"Garten, -s",garden
334,der,"Gast, -¨e",guest
335,der,"Geburtstag, -e",birthday
336,der,"Gehsteig, -e",sidewalk
337,der,"Geruch, -¨e","smell, odor"
338,der,"Geschäftsführer, -,Geschäftsführerin, -nen",store manager
339,der,"Gestank, -X",stench
340,der,"Getränkemarkt, -¨e","party store, beer - wine store"
341,der,"Gott, -¨er","God, gods"
342,der,"Grund, -¨e","the reason, the matter"
343,der,"Grundsatz, -¨e",principle
344,der,"Gürtel, -",belt
345,der,"Haarschnitt, die Frisur",haircut
346,der,"Hacken, -",hooks
347,der,"Hafen, -¨",harbor
348,der,"Hafer, -",oat
349,der,"Hals, -¨e",neck
350,der,"Halz-Nasen-Ohrenartz, -¨","ear, nose and throat doctor"
351,der,"Hammer, -¨",hammer
352,der,"Hase, -n","hare, undomesticated rabbit"
